hour,Rnet,Bowen
0,-63.332,3.8388
0.5,-55.509,4.6418
1,-55.396,4.3831
1.5,-64.537,4.9134
2,-60.665,5.6488
2.5,-57.319,4.9134
3,-54.724,4.9134
3.5,-59.5,4.9134
4,-58.71,4.7141
4.5,-57.845,4.7141
5,-61.719,4.7141
5.5,-59.349,5.5369
6,-54.611,5.5369
6.5,-42.726,2.9677
7,-16.51,-0.15939
7.5,16.658,-23.418
8,57.033,-29.822
8.5,106.07,109.87
9,148.55,29.859
9.5,200.33,34.855
10,245.52,38.516
10.5,317.66,34.386
11,395.98,48.333
11.5,432.88,23.344
12,454.03,18.497
12.5,451.16,25.078
13,449.62,31.254
13.5,433.51,30.995
14,420.63,29.948
14.5,391.67,35.111
15,348.9,32.027
15.5,308.94,33.131
16,258.7,-93.294
16.5,202.38,34.222
17,143.94,36.96
17.5,84.082,23.916
18,24.375,33.816
18.5,-21.86,7.3791
19,-52.25,3.7087
19.5,-74.422,6.4814
20,-72.818,6.2556
20.5,-61.974,1.775
21,-60.748,-0.05018
21.5,-55.118,3.8824
22,-53.734,3.7888
22.5,-55.583,4.2748
23,-54.571,4.185
23.5,-55.326,3.9348
